A Noble Quest | Description | A Noble Quest is an atlas passive skill that affects Expedition encounters.
Forethought | Description | Forethought is a notable passive skill that grants increased maximum mana , increased mana cost of skills and increased mana regeneration rate.
Forethought | Anointment | Blight anointment to unlock the passive:
Fortune's Favour | Description | Fortune's Favour is an atlas passive skill. It causes ore deposits to be of rarer varieties.
Warlock of the Mists that enhances the abilities of the three Warlock curses | Foul Pact | Description | Foul Pact is a notable Ascendancy passive skill for the Warlock of the Mists that enhances the abilities of the three Warlock curses.
Frantic Aspect | Description | Frantic Aspect is a cluster jewel only notable passive skill.
Frantic Aspect | Mods | It can also appear in a legacy Medium Cluster Jewel that has the enchantment : Added Small Passive Skills grant: 3% increased effect of Non-Curse Auras from your Skills or a legacy Small Cluster Jewel that has the enchantment : Added Small Passive Skills grant: +15% to Cold Resistance.
Frantic Aspect | Unique items | The following unique items are related to Frantic Aspect:
Frantic Mining | Description | Frantic Mining is an atlas passive skill. Increases chance to encounter Niko and sulphite veins in maps and increases the relative drop rate of Sulphite Scarabs.
Freed from the Flesh | Description | Freed from the Flesh is an atlas passive skill.
Freed from the Flesh | Mechanics | Breaches in your maps have increased chance to belong to Uul-Netol ( physical Breach). Uul-Netol also has a chance to be duplicated when she spawns.
Freedom of Movement | Description | Freedom of Movement is a notable passive skill that grants increased evasion rating and movement speed while phasing. It also grants 20 Dexterity.
Freedom of Movement | Anointment | Blight anointment to unlock the passive:
Frenetic | Description | Frenetic is a notable passive skill that grants an additional maximum frenzy charge.
Frenetic | Anointment | Blight anointment to unlock the passive:
Frenzied Faith | Description | Frenzied Faith is a notable passive skill added by the Militant Faith jewel. It requires the listed amount of Devotion to be allocated to function.
Freshly Brewed | Description | Freshly Brewed is a notable passive skill added by the Elegant Hubris jewel.
Friends in High Places | Description | Friends in High Places is an atlas passive skill.
Friends in High Places | Mechanics | Contracts found in your maps are more likely to target higher value Heist targets , which can be sold for more Rogue's Markers.
From the Shadows | Description | From the Shadows is a notable passive skill that grants increased attack speed with daggers. It also increased Elusive effect.
From the Shadows | Anointment | Blight anointment to unlock the passive:
Frost Walker | Description | Frost Walker is a notable passive skill that grants increased cold damage , increased cast speed with cold skills , and additional cold resistance.
Frost Walker | Anointment | Blight anointment to unlock the passive:
Fuel the Fight | Description | Fuel the Fight is a notable passive skill only found on Large Cluster Jewels , with specific enchantment (read spawn weight table below; click the mod for full table). The notable grants increased attack speed and an additional percentage of attack damage leeched as mana. It also grants increased damage while leeching.
Fuel the Fight | Unique items | The following unique items are related to Fuel the Fight:
Fungal Bloom | Description | Fungal Bloom is an atlas passive skill. Increases chance to encounter Blight in maps.
Fungal Horizons | Description | Fungal Horizons is an atlas passive skill.
Fungal Horizons | Mechanics | Blightreach
Fungal Remission | Description | Fungal Remission is an atlas passive skill. It prevents Blight encounters from spawning in your maps and prevents Blight Scarabs from dropping. In exchange, it adds additional chance for other Extra Content that can be turned off to appear.
Fungal Remission | Mechanics | Abysses , Blight encounters, Breaches , Expedition encounters, Legion encounters, Mirrors of Delirium , Ritual altars, the Sacred Grove , Ore Deposits , and Ultimatum encounters are Extra Content that can be turned off through Atlas passives.
Fungal Remission | Mechanics | It is still possible to force the encounter to appear using Map Device crafting and scarabs.
Fungal Remission | Ruthless mode | Fungal Remission in Ruthless mode does not grant additional chance to find other Extra Content encounters.
Furious Assault | Description | Furious Assault is a notable passive skill only craftable on a Large Cluster Jewel with the enchantment: Added Small Passive Skills grant: 12% increased Physical Damage , or may be found on a Megalomaniac. The notable grants increased attack speed , increased cast speed and increased physical damage.
Furious Assault | Unique items | The following unique items are related to Furious Assault:
Fury Bolts | Description | Fury Bolts is a notable passive skill that grants increased accuracy rating, projectile speed , and projectile damage. It also grants additional strength.
Fury Bolts | Anointment | Blight anointment to unlock the passive:
Fusillade | Description | Fusillade is a notable passive skill that grants increased attack speed and increased accuracy rating with wands.
Fusillade | Anointment | Blight anointment to unlock the passive:
Galvanic Hammer | Description | Galvanic Hammer is a notable passive skill that grants increased accuracy rating and increased elemental damage with maces and sceptres. It also grants additional elemental resistance penetration with weapons.
Galvanic Hammer | Anointment | Blight anointment to unlock the passive:
Gatekeepers | Description | Gatekeepers is an atlas passive skill.
Gatekeepers | Mechanics | Breaches in your maps have increased chance to spawn a Breachlord , and Breachlords have chance to drop double Breach splinters.
